OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Reforming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
337,340,SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,COMMERCE CITY EAST,Colorado,4,38.7,8.5,9.5,0,0,11,0,11,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",39.801794,-104.944705,1,-11682391.1221,4837181.1892
338,342,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,RODEO,California,5,62,93.2,0,69,0,34,13.8,27.5,51,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",38.043474,-122.255632,1,-13609434.7008,4585569.0527
339,343,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,WILMINGTON,California,5,159,83.4,51.6,27.5,0,36.2,35.8,150.7,53.2,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",33.810856,-118.243473,1,-13162803.204,4003432.7962
340,351,VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,CORPUS CHRISTI,Texas,3,301,91,95.5,51,0,50,40.5,293.5,19,30.6,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",27.816758,-97.484505,1,-10851925.4568,3225890.7473
341,353,AMERICAN REFINING GROUP INC,AMERICAN REFINING GROUP INC,BRADFORD,Pennsylvania,1,11.8,0,0,0,0,2.2,0.78,8.7,0,0.56,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",41.966715,-78.629424,1,-8752987.441,5155994.8157
342,356,WYOMING REFINING CO,PAR PETROLEUM INC,NEWCASTLE,Wyoming,4,20,0,7.5,0,0,4.5,1.3,10.6,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",43.848521,-104.213903,,-11601038.6155,5442030.3056
343,362,FORELAND REFINING CORP,FORELAND REFINING CORP,ELY,Nevada,5,5,2.75,0,0,0,0,0,0,0,1.6,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",38.621486,-115.617898,,-12870525.5319,4667596.81
344,363,PAR HAWAII REFINING LLC,PAR PETROLEUM INC,KAPOLEI,Hawaii,5,95,40,0,20,11,13.5,0,13,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",21.303769,-158.0914,1,-17598654.1468,2428136.8737
345,381,COUNTRYMARK REFINING & LOGISTICS LLC,COUNTRYMARK COOP INC,MOUNT VERNON,Indiana,2,35.7,14.5,9.1,0,0,6.7,6.25,34.5,0,3.7,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",37.906028,-87.928877,,-9788197.8137,4566159.2131
346,382,CROSS OIL REFINING & MARKETING INC,MARTIN RESOURCE MANAGEMENT GRP,SMACKOVER,Arkansas,3,7.7,3.85,0,0,0,0,0,6,0,0.8,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",33.363209,-92.712123,,-10320666.3227,3943613.7144
347,385,DEER PARK REFINING LP,PEMEX,DEER PARK,Texas,3,340,180,80.1,60,0,68.5,21,328.6,96,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",29.731441,-95.126797,1,-10589466.6028,3469075.5877
348,386,DIAMOND SHAMROCK REFINING CO LP,VALERO ENERGY CORP,SUNRAY,Texas,3,204,50,56,27,0,47,12.8,132,0,5.5,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",35.95563,-101.880991,,-11341340.0396,4294517.8447
349,387,DIAMOND SHAMROCK REFINING CO LP,VALERO ENERGY CORP,THREE RIVERS,Texas,3,100,33.5,23.84,28,0,33.5,10,83,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",28.45921,-98.188265,,-10930267.6617,3306994.0011
350,391,SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,COMMERCE CITY WEST,Colorado,4,73,25,21,0,0,10.9,0,76.43,0,13.2,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",39.803311,-104.946497,1,-11682590.6066,4837401.0012
351,392,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,WESTLAKE,Louisiana,3,273,125,51.6,0,0,48,34,277,65.2,6.5,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",30.241215,-93.271135,1,-10382895.2539,3534593.6179
352,393,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,BILLINGS,Montana,4,69.5,49.9,24.99,0,0,9.2,11.5,82,20,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",45.78057,-108.490143,1,-12077067.4748,5745254.8668
353,394,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,PONCA CITY,Oklahoma,2,235,89.042,76.912,0,0,49.258,17.574,242.725,27.385,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",36.675939,-97.079264,1,-10806814.2351,4394032.609
354,434,PREMCOR REFINING GROUP INC,VALERO ENERGY CORP,PORT ARTHUR,Texas,3,424,220,75,134.8,0,58,19.5,339.1,154.7,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",29.857368,-93.962546,1,-10459862.7744,3485228.9736
355,442,LION OIL CO,DELEK GROUP LTD,EL DORADO,Arkansas,3,85,45,21,0,0,15.3,13,92.75,0,20.5,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",33.199731,-92.673774,,-10316397.3316,3921845.0202
356,444,HOUSTON REFINING LP,ACCESS INDUSTRIES,HOUSTON,Texas,3,289,196.5,110,0,0,0,11.25,400.6,100.5,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",29.701556,-95.251761,1,-10603377.5317,3465245.0455
357,461,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,NORTH POLE,Alaska,5,24,0,0,0,0,0,0,0,0,3,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",64.85276,-147.748499,,-16447287.6742,9569694.2877
358,462,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,VALDEZ,Alaska,5,60,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",61.081919,-146.381762,,-16295143.2073,8644657.3263
359,465,CITGO PETROLEUM CORP,PDV AMERICA INC,LAKE CHARLES,Louisiana,3,479,230,151,51.2,0,118.2,56.1,410.5,110,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",30.181174,-93.332596,1,-10389737.0611,3526859.3946
360,478,CITGO REFINING & CHEMICAL INC,PDV AMERICA INC,CORPUS CHRISTI,Texas,3,175.5,85.3,70.7,0,0,51.5,24.878,273.047,45.1,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",27.809474,-97.428434,1,-10845683.6617,3224973.9866
361,479,CPI OPERATIONS LLC,PBF ENERGY CO LLC,PAULSBORO,New Jersey,1,35,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",39.840932,-75.226205,,-8374142.8349,4842853.8042
362,496,HF SINCLAIR WYOMING REFINING CO,HF SINCLAIR CORP,SINCLAIR,Wyoming,4,92,51,22,16,0,13,5,74,20,8,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",41.780163,-107.109511,1,-11923376.2236,5128105.5997
363,497,HF SINCLAIR TULSA REFINING LLC,HF SINCLAIR CORP,TULSA EAST,Oklahoma,2,75.5,27,30,0,0,25,18.5,99,0,15.2,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",36.116749,-95.999949,1,-10686665.4389,4316697.7686
364,499,HF SINCLAIR CASPER REFINING COMPANY,HF SINCLAIR CORP,EVANSVILLE,Wyoming,4,30,0,11,0,0,5,0,25.9,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",42.858453,-106.242437,1,-11826853.9875,5290451.7073
