Date,Day,Month,Year,Company,Pipeline,Key Point,Latitude,Longitude,Direction Of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
2006-01-17,17,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51893.4926364301,49409.6015625,1985035.6056263745
2006-01-17,17,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13912.907177759054,11104.2998046875,442419.7473689243
2006-01-18,18,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51898.60381013109,49166.19921875,1975345.4180769771
2006-01-18,18,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13922.18455069722,12134.7001953125,484905.06207604334
2006-01-19,19,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51903.00595309114,45024.3984375,1808973.8552003503
2006-01-19,19,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13931.14377942149,12086.2998046875,481730.08728482947
2006-01-20,20,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51906.69772255536,50478.0,2041574.2220306396
2006-01-20,20,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13939.782131160911,11288.5,450435.97105789185
2006-01-21,21,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51909.67799244905,49694.8984375,2002694.5114254057
2006-01-21,21,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13948.096971019388,11342.2001953125,453556.04327928275
2006-01-22,22,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51911.94585372135,49356.69921875,1989272.4474874139
2006-01-22,22,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13956.085762779398,10297.7001953125,411179.9439414218
2006-01-23,23,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51913.50061462236,49293.5,1987829.4357070923
2006-01-23,23,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13963.746069675592,11009.7001953125,440002.669985611
2006-01-24,24,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51914.341800914226,49762.30078125,2015855.9145312756
2006-01-24,24,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13971.075555138066,10619.2998046875,424714.63085737824
2006-01-25,25,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51914.46915601575,50753.69921875,2061300.5918086767
2006-01-25,25,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13978.07198350506,12301.599609375,490448.33887881786
2006-01-26,26,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51913.88264108071,49773.80078125,2018340.874744013
2006-01-26,26,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13984.73322070491,12599.400390625,501110.93819928914
2006-01-27,27,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51912.58243500967,49592.6015625,2012593.4782387018
2006-01-27,27,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13991.057234906957,11674.2998046875,464834.4085833542
2006-01-28,28,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51910.568934395385,50263.19921875,2037187.5355627984
2006-01-28,28,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13997.042097141315,11057.5,440347.9891681671
2006-01-29,29,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51907.84275340188,49603.8984375,2008068.345372945
2006-01-29,29,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14002.68598188727,11649.2001953125,463499.55622692406
2006-01-30,30,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51904.404723577136,49873.1015625,2015132.5007933378
2006-01-30,30,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14007.987167630074,11255.7998046875,450202.7088338211
2006-01-31,31,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51900.25589359935,48854.30078125,1970078.9754824936
2006-01-31,31,1,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14012.944037386076,11937.400390625,474796.54855668545
2006-02-01,1,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51900.25589359935,47574.19921875,1915717.9281849414
2006-02-01,1,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14012.944037386078,11168.5,447784.23498153687
2006-02-02,2,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51895.39752895715,47093.1015625,1899853.39229846
2006-02-02,2,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14017.555079195916,11943.7001953125,477906.88111336157
2006-02-03,3,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51889.831111563566,49469.3984375,2002699.3690800369
2006-02-03,3,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14021.818886585714,11880.599609375,475708.6913025752
2006-02-04,4,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51883.558339304014,48958.8984375,1998224.6889009476
